trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.7648421872844885}",25,0,-161.0619728760033,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.16996714290024104}",25,0,-116.34406348033436,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': -0.5048461045998571}",30,0,37.488142083774484,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': -0.9422223406686581}",25,0,-70.02314872192811,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': -0.9364566872907963}",25,0,25.01953900222466,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': -0.4902608213407002}",20,0,-108.41550086676092,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.18651236942257488}",20,0,10.757678325877164,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.7755658785102496}",20,0,-9.533944378040168,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.9998586363834151}",20,10,-4.2258181612307375,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.7539022543433046}",25,0,-154.82134393896834,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.15337386203786524}",35,11,33.817569481444,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': -0.5192886541166841}",25,18,0.8330307909498122,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': -0.9477216021311119}",20,8,23.33556532729612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
