trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0490831074480471}",25,0,-175.55289277327117,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 1.0488966158136532}",25,0,-167.7870141907333,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.7, 'e': 1.0486722406697417}",25,0,-274.3474157697426,"{0: 9, 1: 3, 2: 8, 3: 1, 4: 4}",0
4,False,"{'a': 0.7, 'e': 1.0484023079461484}",20,0,-87.8871591768138,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 1.0480775986611022}",20,0,-145.70396424663963,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 1.0476870422142457}",25,0,-71.9197084911898,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 1.0472173507203428}",20,0,-138.1897644749192,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.7, 'e': 1.0466525839196361}",20,2,-117.99907954805252,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
9,False,"{'a': 0.7, 'e': 1.0459736327432176}",20,0,-98.08989480194785,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 1.0451576081459664}",30,0,-145.8805523640256,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.7, 'e': 1.0441771204636905}",30,0,-225.82493928654205,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
12,False,"{'a': 0.7, 'e': 1.0429994334939898}",20,0,-27.359087099204743,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 1.0415854770322583}",20,0,-80.24986076632655,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 1.039888702147199}",30,0,-71.83157245918012,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 1.037853765680314}",20,0,-113.60808537671643,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.7, 'e': 1.0354150351851787}",25,2,-38.87925130943148,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 1.0324949140006976}",20,0,-147.6299061375694,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.7, 'e': 1.029002}",25,0,-191.78436630611625,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.7, 'e': 1.0248291128589224}",25,0,-85.40898722908717,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.7, 'e': 1.0198512559990907}",20,10,-80.08849219640379,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 1}",1
21,False,"{'a': 0.7, 'e': 1.0139236235926368}",20,0,-58.947861853666524,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 1.0068798231152571}",25,0,-79.77365639490843,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.998530562201022}",20,0,-105.88479983275934,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.9886631454096058}",30,0,-312.8445223492048,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 6}",0
25,False,"{'a': 0.7, 'e': 0.9770422385340742}",20,0,-56.9520492609104,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.9634124751132683}",25,0,-85.43386442479351,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.9475035813965902}",20,0,-23.76091612388815,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.9290387476397269}",35,0,-97.56474607033984,"{0: 26, 1: 4, 2: 3, 3: 0, 4: 2}",1
29,False,"{'a': 0.7, 'e': 0.90774692460507}",20,0,-162.88881549497984,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
30,False,"{'a': 0.7, 'e': 0.8833795099846046}",20,0,-29.029242816791907,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.8557314428160493}",25,0,-116.43134516296335,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.82466599846808}",25,0,-112.03562924718145,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.7, 'e': 0.7901415846645856}",20,2,-9.278185866140424,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.7522376954818677}",25,10,-58.05808542239119,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.7, 'e': 0.7111761347340295}",20,3,-10.172102501948686,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.6673330431277047}",25,0,-123.32194056499745,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.6212375584138374}",25,14,-16.884561350896064,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.5735543753419705}",30,0,-85.22963105614386,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.7, 'e': 0.52505}",20,0,-7.411908062968118,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.4765456246580295}",20,0,-70.52521660599584,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.4288624415861625}",20,8,-59.192320107150096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
42,False,"{'a': 0.7, 'e': 0.38276695687229534}",25,7,-109.27231596085618,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 2}",1
43,False,"{'a': 0.7, 'e': 0.3389238652659705}",20,0,18.003530799001155,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.29786230451813234}",25,16,11.910828020858,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.2599584153354145}",20,1,15.037717227396861,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.22543400153192006}",30,2,-36.67823204180859,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.19436855718395074}",25,0,-4.546892554404399,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.16672049001539557}",20,3,9.785745134134645,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.14235307539493003}",20,3,13.882382705182945,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.1210612523602731}",25,0,32.87514843907381,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.10259641860340984}",20,0,2.376063336623927,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.0866875248867317}",25,16,5.1503344394556265,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.07305776146592569}",25,20,9.216956468947405,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.061436854590394274}",20,7,26.823929578625414,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.051569437798978046}",20,11,17.78483764621724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.04322017688474289}",30,6,37.36488927438755,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.036176376407363264}",30,16,7.070797630749376,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.0302487440009096}",20,0,25.2701207902678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.025270887141077614}",20,0,32.19647446451732,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.7, 'e': 0.02109800000000006}",30,16,26.60556435561935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.017605085999302217}",20,12,17.230448406068614,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.014684964814821289}",30,13,31.377987365183778,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.012246234319686078}",20,2,20.293162588335658,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.01021129785280106}",30,16,25.951529374947057,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.008514522967741911}",20,3,27.355639050465673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.0071005665060102086}",20,13,13.690175082995767,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.005922879536309544}",30,15,26.645391890170938,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.0049423918540336675}",20,16,5.935500194253991,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.004126367256782615}",20,9,19.402089121938634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.0034474160803639187}",20,7,23.244555017903355,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.002882649279657201}",25,6,30.674398327124926,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.002412957785754344}",20,3,25.638322376688006,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.0020224013388978612}",20,14,10.249580673872563,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.0016976920538513962}",20,16,5.894005348671314,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.0014277593302580716}",20,9,21.793009297759777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.0012033841863468009}",20,1,31.747611240852425,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.0010168925519526972}",20,0,30.989573306094098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.0008618984365786897}",20,13,12.121763453167008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.0007330891529224726}",30,12,33.13675287340029,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.0006260459098406113}",30,13,31.604372005300156,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.0005370940882598596}",20,10,21.755608330900813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.00046317838424725366}",20,0,26.795505317041115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.0004017587548383883}",25,16,16.828422920310572,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.0003507237459325907}",20,6,26.648838997485814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.00030831832987732177}",25,6,29.726206485726564,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.00027308384525270846}",25,7,23.141309884454152,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.00024380802411161362}",20,6,-41.90437094747286,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
88,False,"{'a': 0.7, 'e': 0.00021948342269473287}",25,1,34.14118530610817,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.00019927284956922087}",25,19,10.904825049504215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.00018248061820069772}",25,6,29.99785042647826,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.00016852864606309303}",35,20,4.242869592274982,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.0001569365855456084}",30,10,32.23070726252858,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.00014730530814288656}",30,6,37.10202053068994,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.00013930317711041695}",20,3,-10.08031262558404,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.7, 'e': 0.00013265463855738346}",25,9,32.90987435711116,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.00012713073994041757}",30,11,36.97290924251004,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.00012254125071020638}",30,22,17.621054876812916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.00011872811463886634}",20,0,28.75277716036347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.00011556000893353513}",20,9,18.857259843467197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.00011292782317373629}",25,18,15.24084078984123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.00011074090264617809}",20,13,11.227860957270588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.00010892392690187158}",25,15,17.229366360753897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.0001074143161572394}",30,21,16.156206164736826,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.0001061600763112569}",20,10,19.6232468608774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.00010511800841572772}",25,5,35.112612476313146,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.00010425222098287001}",35,17,30.935561855414978,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.00010353289391029641}",30,14,20.188012548278042,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.0001029352514800852}",25,19,11.02277583095026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.00010243870907022945}",30,18,22.19271752791234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.00010202616419507926}",20,10,16.833968267478713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.0001016834074727413}",20,14,11.25303981421884,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.00010139863322500275}",20,6,20.286786013305022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.00010116203286525405}",30,18,18.740627612065406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.00010096545706450577}",20,10,17.247920280112528,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.00010080213507057678}",25,20,7.759335375306334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
