trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,4,-69.99851326815245,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.25}",25,0,-108.36061843331936,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",30,0,22.411802596818223,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.0625}",25,0,-23.488686405295,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.04}",20,0,-47.905432543739174,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",20,0,-16.940884767027228,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,2,2.1315257917749344,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.015625}",20,0,-32.311706750756834,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",25,0,19.191254998201096,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.01}",20,0,-28.507750880621025,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",25,0,-47.23732084474264,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",25,0,5.987806222113697,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",20,14,6.662132418999342,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",25,0,30.434212009462627,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",20,0,-8.192571307556001,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.00390625}",20,0,12.168620490180295,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",20,0,25.359550641911238,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",25,0,-12.392652695523216,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",25,7,23.22765996031294,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0025}",20,0,-23.344081316719752,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",20,0,25.679988534314365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",20,2,20.945406214830285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",20,0,15.534547101605483,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",25,0,-11.418257844947846,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.0016}",30,0,-7.010967028062009,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",30,0,-6.578371465349069,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",30,0,-31.346824132630243,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",25,0,34.09895041681949,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",30,0,25.988869281376083,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",30,16,21.517271025505075,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",35,23,17.922560109968433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.0009765625}",25,0,28.30490055969995,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",25,0,-44.42482786667045,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",25,15,6.771082473441088,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",25,9,25.026513710713317,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",25,15,15.58153625145401,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",35,17,-37.9256204603832,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",20,0,25.9566695702111,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",20,7,24.38261573059822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.000625}",35,12,27.4382622591057,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",20,0,29.833589857236817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.0005668934240362812}",30,21,11.622395598465832,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",30,17,-30.37900156575548,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",30,3,37.516181597907355,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",25,17,13.960005662128436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",30,12,-5.723360988352737,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",30,11,23.20664806671681,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.00043402777777777775}",25,8,20.810405983004195,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.00041649312786339027}",20,0,-16.71306035139669,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.7, 'e': 0.0004}",30,0,37.34123665938615,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.00038446751249519417}",20,4,25.108609029522942,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.0003698224852071006}",25,15,20.968426801956152,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.000355998576005696}",25,2,27.680586005982324,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.0003429355281207133}",30,4,36.26086395734214,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.00033057851239669424}",20,0,28.96877929750709,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.7, 'e': 0.00031887755102040814}",20,9,19.967294420144764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.0003077870113881194}",20,10,-25.424792661921046,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.7, 'e': 0.00029726516052318666}",20,6,22.441151358948133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.0002872737719046251}",25,7,1.5407833015579846,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0002777777777777778}",25,17,13.90145767312476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.0002687449610319806}",30,13,-18.70504226715868,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.7, 'e': 0.00026014568158168577}",30,3,44.28769003028178,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.0002519526329050139}",25,0,25.98827285475067,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.7, 'e': 0.000244140625}",25,0,22.118506555712322,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.00023668639053254438}",20,4,26.568380868115547,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.0002295684113865932}",20,7,21.754316632662245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.00022276676319893073}",20,0,28.94251042237595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.00021626297577854672}",30,6,34.92155653465063,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.00021003990758244065}",30,0,-58.06046383678914,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.00020408163265306123}",20,15,8.328894384757296,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.00019837333862328903}",25,0,39.62178360467382,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
